Date,SPY,TLT,MSFT
11-21-2008,66.199829,78.796791,15.786972
11-24-2008,70.786888,77.564133,16.597178
11-25-2008,71.311371,79.845657,16.035646
11-26-2008,74.066895,79.952843,16.436731
11-28-2008,74.999268,80.940498,16.220148
12-1-2008,68.355988,84.040146,14.928634
12-2-2008,70.986702,84.362808,15.361814
12-3-2008,72.693306,84.600899,15.939386
12-4-2008,71.011665,86.267876,15.329726
12-5-2008,73.201134,84.869789,15.939386
12-8-2008,75.756866,84.685387,16.853878
12-9-2008,74.508133,86.360054,16.524981
12-10-2008,75.015961,86.152672,16.532999
12-11-2008,73.209442,86.321663,15.602472
12-12-2008,74.083572,86.321663,15.530272
12-15-2008,73.051285,87.304939,15.273575
12-16-2008,76.489456,89.463531,16.131908
12-17-2008,75.748535,91.891052,15.770925
12-18-2008,74.333305,93.819244,15.482141
12-19-2008,74.013542,93.919106,15.337749
12-22-2008,73.065216,93.196968,15.385878
12-23-2008,72.309868,93.074074,15.466099
12-24-2008,72.729523,92.874336,15.377854
12-26-2008,73.149124,93.181625,15.345765
12-29-2008,72.939316,93.069878,15.209395
12-30-2008,74.668167,93.956291,15.514232
12-31-2008,75.734016,91.990768,15.594445
1-2-2009,78.016777,89.67849,16.308393
1-5-2009,77.924446,87.366203,16.460802
1-6-2009,78.444778,86.487572,16.65333
1-7-2009,76.094887,86.82666,15.650601
1-8-2009,76.405426,86.757301,16.139931
1-9-2009,74.76889,86.888321,15.658618
1-12-2009,72.972878,87.790131,15.618513
1-13-2009,73.107162,87.882607,15.899277
1-14-2009,70.807617,89.331665,15.31368
1-15-2009,70.832787,89.478104,15.434012
1-16-2009,71.386711,88.09845,15.811034
1-20-2009,67.618477,88.083,14.824349
1-21-2009,70.53904,85.300552,15.546314
1-22-2009,69.448029,83.658844,13.72536
1-23-2009,69.750168,83.003693,13.797558
1-26-2009,70.228523,82.279121,14.142491
1-27-2009,70.941879,84.213776,14.166559
1-28-2009,73.342163,82.109612,14.471388
1-29-2009,70.958687,80.22123,14.110406
1-30-2009,69.51519,79.966873,13.71734
2-2-2009,69.305367,81.454643,14.302931
